path,species_id,scientific_name,english_name,morisyen_name,platform,observation_id,source_url,media_url,creator,licence,licence_url,locality,date,sha256,split,redistribution_permission,notes
data/demo/synthetic/sharp.jpg,n/a,n/a,synthetic test image,n/a,synthetic,,,,Team Ctrl200 (generated),MIT,https://opensource.org/licenses/MIT,,2026-07-29,9711a9787cfd7de599f1cec033c72b031a266450f42972e6316637796df2b71c,quality_test,yes,sharp reference
data/demo/synthetic/blurry.jpg,n/a,n/a,synthetic test image,n/a,synthetic,,,,Team Ctrl200 (generated),MIT,https://opensource.org/licenses/MIT,,2026-07-29,68a3d48d18f1cf94090480a7091d80ddd5abb4b47e3c73b4702d33a65b5bbcff,quality_test,yes,blur variant
data/demo/synthetic/dark.jpg,n/a,n/a,synthetic test image,n/a,synthetic,,,,Team Ctrl200 (generated),MIT,https://opensource.org/licenses/MIT,,2026-07-29,09b2e747b3e35b9d62025ad24fd9dee45882a12a5474aecb1e6783d958527594,quality_test,yes,underexposed variant
data/demo/synthetic/overexposed.jpg,n/a,n/a,synthetic test image,n/a,synthetic,,,,Team Ctrl200 (generated),MIT,https://opensource.org/licenses/MIT,,2026-07-29,e861b7e07e6adc41c500be4d651f420a888874b8d0d3a68feb166c66a5bca694,quality_test,yes,overexposed variant
data/demo/synthetic/tiny.jpg,n/a,n/a,synthetic test image,n/a,synthetic,,,,Team Ctrl200 (generated),MIT,https://opensource.org/licenses/MIT,,2026-07-29,0bedbe50381212d1b4291451698f231452841464a1d871dfe37fce7a856385fb,quality_test,yes,too-small variant
data/demo/synthetic/not_a_catch.jpg,n/a,n/a,synthetic test image,n/a,synthetic,,,,Team Ctrl200 (generated),MIT,https://opensource.org/licenses/MIT,,2026-07-29,cec78fa4e29b5b3fb133017a0f43f0fd260693cc6b7c7d17f1d01674f8044f5b,quality_test,yes,invalid subject (document-like)
data/raw/octopus_cyanea/octopus_cyanea_8993018.jpg,octopus_cyanea,Octopus cyanea,Day octopus,ourite (provisional),inaturalist,8993018,https://www.inaturalist.org/observations/8993018,https://inaturalist-open-data.s3.amazonaws.com/photos/12120183/large.jpg,maractwin,cc-by-nc,https://creativecommons.org/licenses/by-nc/4.0/,"Ra, Western, Fiji",2017-11-13,f5a4d865a8ea044a18cd75d61f2ed057d7f3ba0d4bee7953a9a9000b73117cbe,train,no,
data/raw/octopus_cyanea/octopus_cyanea_217000496.jpg,octopus_cyanea,Octopus cyanea,Day octopus,ourite (provisional),inaturalist,217000496,https://www.inaturalist.org/observations/217000496,https://inaturalist-open-data.s3.amazonaws.com/photos/383839002/large.jpg,wayneosborn,cc-by-nc,https://creativecommons.org/licenses/by-nc/4.0/,Wakatobi Reefs,2024-05-15,0e6c09c220d3bb486f5af9fc0b37e5aba1fee2dc324c8f4bb22c048c8894c2ab,train,no,
data/raw/octopus_cyanea/octopus_cyanea_16636632.jpg,octopus_cyanea,Octopus cyanea,Day octopus,ourite (provisional),inaturalist,16636632,https://www.inaturalist.org/observations/16636632,https://inaturalist-open-data.s3.amazonaws.com/photos/25077043/large.jpg,jfisk,cc-by-nc,https://creativecommons.org/licenses/by-nc/4.0/,"Pupukea, HI 96712, USA",2018-09-15,b1e6c4db860e6bd549fea00573557961b94afafe8bc8d87ef1c61b274347c69f,train,no,
data/demo/octopus_cyanea_151112387.jpg,octopus_cyanea,Octopus cyanea,Day octopus,ourite (provisional),inaturalist,151112387,https://www.inaturalist.org/observations/151112387,https://inaturalist-open-data.s3.amazonaws.com/photos/260686058/large.jpeg,rohanarthur,cc-by,https://creativecommons.org/licenses/by/4.0/,"Netaji Subhash Chandra Bose Island, Andaman and Nicobar Isla",2017-04-12,1add39a57ecd421f5630c480c07847c1fd2c9565e285158890bbf5f25b433a52,hero,yes,hero demo image
